Epoch [1/20], Step [0/10], Spatial Loss: 1.7905507, Temporal Loss: 1.8454915,Running Loss: 3.636042, Combined Loss: 3.6360421 
Epoch [2/20], Step [0/10], Spatial Loss: 1.7483109, Temporal Loss: 1.3708979,Running Loss: 3.334719, Combined Loss: 3.1192088 
Epoch [3/20], Step [0/10], Spatial Loss: 1.7049582, Temporal Loss: 0.9071416,Running Loss: 3.104220, Combined Loss: 2.6120999 
Epoch [4/20], Step [0/10], Spatial Loss: 1.6318228, Temporal Loss: 0.7219054,Running Loss: 2.914442, Combined Loss: 2.3537283 
Epoch [5/20], Step [0/10], Spatial Loss: 1.6514516, Temporal Loss: 0.6350166,Running Loss: 2.772561, Combined Loss: 2.2864680 
Epoch [6/20], Step [0/10], Spatial Loss: 1.6541994, Temporal Loss: 0.5105535,Running Loss: 2.670750, Combined Loss: 2.1647530 
Epoch [7/20], Step [0/10], Spatial Loss: 1.4530483, Temporal Loss: 0.5176615,Running Loss: 2.560342, Combined Loss: 1.9707098 
Epoch [8/20], Step [0/10], Spatial Loss: 1.4677447, Temporal Loss: 0.2271919,Running Loss: 2.449886, Combined Loss: 1.6949365 
Epoch [9/20], Step [0/10], Spatial Loss: 1.4755373, Temporal Loss: 0.3475991,Running Loss: 2.352649, Combined Loss: 1.8231364 
Epoch [10/20], Step [0/10], Spatial Loss: 1.3146809, Temporal Loss: 0.3856384,Running Loss: 2.264053, Combined Loss: 1.7003194 
Epoch [11/20], Step [0/10], Spatial Loss: 1.1640500, Temporal Loss: 0.1172646,Running Loss: 2.172089, Combined Loss: 1.2813146 
Epoch [12/20], Step [0/10], Spatial Loss: 0.9398577, Temporal Loss: 0.1401839,Running Loss: 2.082434, Combined Loss: 1.0800416 
Epoch [13/20], Step [0/10], Spatial Loss: 0.9084561, Temporal Loss: 0.1537652,Running Loss: 2.003379, Combined Loss: 1.0622214 
Epoch [14/20], Step [0/10], Spatial Loss: 0.8301488, Temporal Loss: 0.2029174,Running Loss: 1.936836, Combined Loss: 1.0330662 
Epoch [15/20], Step [0/10], Spatial Loss: 0.8959121, Temporal Loss: 0.1215304,Running Loss: 1.868219, Combined Loss: 1.0174425 
Epoch [16/20], Step [0/10], Spatial Loss: 0.7471046, Temporal Loss: 0.0752570,Running Loss: 1.801983, Combined Loss: 0.8223616 
Epoch [17/20], Step [0/10], Spatial Loss: 0.6876953, Temporal Loss: 0.1089829,Running Loss: 1.745831, Combined Loss: 0.7966782 
Epoch [18/20], Step [0/10], Spatial Loss: 0.8047388, Temporal Loss: 0.0915775,Running Loss: 1.691083, Combined Loss: 0.8963163 
Epoch [19/20], Step [0/10], Spatial Loss: 0.6595370, Temporal Loss: 0.0426482,Running Loss: 1.636084, Combined Loss: 0.7021852 
Epoch [20/20], Step [0/10], Spatial Loss: 0.6754691, Temporal Loss: 0.0409234,Running Loss: 1.589324, Combined Loss: 0.7163925 
